21,"(A) ATP content (*: Pâ=â0.0313, left panel), protein content (*: Pâ=â0.0367, middle panel), and cell size (***: P<0.0001, right panel) of IMR cells cultivated with imatinib or 24 hours after imatinib withdrawal. Values reflect means Â± SD from 3 experiments. (B) Effects of imatinib withdrawal on glucose and amino acid metabolism. Cells were cultivated in presence or absence of imatinib for 24 hours and then harvested and prepared for GC-MS or LC-MS-MS. Values reflect means Â± SD from 3 experiments. (C) Induction of cell death in IMR cells cultivated with imatinib or 48 hours after imatinib withdrawal in the presence or absence of 2-deoxy-D-glucose (**: Pâ=â0.0048, upper panel), in medium with different glutamine concentrations (*: Pâ=â0.02, middle panel) or in presence or absence of 6-diazo-5-oxo-l-norleucine (DON; **: Pâ=â0.0014). After treatment cells were harvested, stained for Annexin-V-FITC and cell death was quantified by FACS analysis. Values reflect means Â± SD from 3 experiments.",4
22,Imatinib withdrawal induces ER stress.,4
23,(A) Phase contrast images of IMR cells cultivated with or without imatinib for 24 hours (left panels) and p190IMR cells stained with ER-TrackerTMGreen dye (Invitrogen) 24 hours after imatinib withdrawal (right panel). (B) Imatinib withdrawal induces prototypical ER stress markers. Left panel: phosphorylation of eIF2Î± and protein level of CHOP in presence of imatinib and upon imatinib withdrawal evaluated after indicated time periods by western blot analysis. Right panel: agarose gel electrophoresis of XBP-1 splicing variants amplified by PCR.,4
24,Imatinib deprivation leads to non-apoptotic cell death mediated by p38 and RIP1.,4
25,"(A) BIM is highly induced but does not affect cell death upon imatinib deprivation. Left panel: Cells were cultivated in presence or absence of imatinib for indicated time periods and harvested for detection of BIM protein variants in western blot analysis. Right panel: cells were transfected with control siRNA or siRNA targeting BIM or CHOP. After 16 hours medium was changed and cells were further cultivated with or without imatinib for 48 hours. Cells were then harvested for western blot analysis or quantification of cell death by Annexin staining and flow cytometry. (B) Apoptosis is antagonized by a parallel induction of Bcl-xL. Upper panel: western blot analysis of Bcl-xL from cells cultivated with or without imatinib. Lower panel: inhibition of Bcl-xL by ABT-737 leads to induction of apoptosis early after imatinib withdrawal (***: Pâ=â0.0012). Cells were cultivated in the presence and absence of imatinib and ABT-737 for 24 hours and then harvested for Annexin V-FITC staining and flow cytometry. Values reflect means Â± SD from 3 experiments. (C) RIP1 and p38 activity is induced upon imatinib withdrawal and responsive for induction of cell death. Left panel: cells were cultivated with or without imatinib and harvested for western blot analysis using specific antibodies recognizing p38-Thr180/Tyr182, p38 or RIP1. Right panel: inhibition of RIP1 by Necrostatin-1 (**: Pâ=â0.0076) and inhibition of p38 (*: Pâ=â0.0102) antagonize cell death upon imatinib withdrawal. Cells were incubated with or without Necrostatin-1 and p38 inhibitor III and imatinib for 48 hours and then harvested for Annexin V staining and flow cytometry. Values reflect means Â± SD from 3 experiments. (D) Inhibition of glycolysis or p38 activity abrogates RIP1 posttranslational modification upon Imatinib withdrawal. Cells were incubated with or without 2-deoxy-D-glucose or p38 inhibitor III and Imatinib as indicated. 48 hours after Imatinib withdrawal cells were harvested for western blot analysis.",4
26,Modulation of cell death and altered metabolism induced by imatinib withdrawal in IMR cells.,4
27,"(A) Effects of a panel of 1,120 approved small molecule inhibitors (Prestwick library) on cell survival upon imatinib-deprivation. Cells were incubated with DMSO control, inhibitors and with or without imatinib for 48 hours and cell survival was then measured by MTT colorimetric analysis. Values reflect percent survival of cells treated with inhibitor in absence of imatinib in relation to imatinib treated controls. Survival of imatinib withdrawal alone is indicated by a dotted line. (B) Effects of betamethasone (**: Pâ=â0.001) and prednisolone (***: P<0.0001) on induction of cell death (left panel) and glucose metabolism (right panel) on imatinib withdrawal induced cell death. Cells were cultivated in the presence or absence of betamethasone, prednisolone, and imatinib for 48 hours and then harvested for cell death quantification by Annexin V staining and flow cytometry (left panel) or for fixation and preparation for GC-MS or LC-MS-MS (right panel). Values reflect means Â± SD from 3 experiments.",4
28,Corticosteroids render the BaF3 cells permissive for the transforming activity of Bcr-Abl.,4
29,(A) Colony number and colony size of BaF3 cells transfected with an expression vector containing e1a2bcr-abl as insert in presence or absence of prednisolone or betamethasone. 48 hours after transfection cells were counted and further cultivated in semisolid medium with or without prednisolone or bethamethasone. Left panel: photographs of representative wells (from 6-well plates). Right panel: colony numbers of cells transfected in absence (c) or presence of prednisolone (p; **: Pâ=â0.0013) or betamethasone (b; **: Pâ=â0.0013). Values reflect means Â± SEM of triplicates from 3 independent experiments (B) Bcr-Abl expression and autophosphorylation of bcr-abl transfected cell clones. Left panel: representative example. Right panels: relative Bcr-Abl protein levels in absence (c) or presence of prednisolone (p) or betamethasone (b) and relative autophosphorylation in absence (c) or presence of prednisolone (p; *: Pâ=â0.0126) or betamethasone (b; *: Pâ=â0.0364) were measured by forming the ratio of the densitometric values of bands pooled from results of 10 clones.,4
30,"Small to medium sized, permanent forest streams with heterogeneous morphology and rich in submerged woods and root packs are usually inhabited by the highest numbers of Ancyronyx species. This picture shows the type locality of Ancyronyx montanus where also Ancyronyx minerva, Ancyronyx patrolus, Ancyronyx pseudopatrolus and Ancyronyx punkti occurred sympatrically.",5
31,Phylogram of the consensus tree of the Bayesian analysis with branch lengths measured in expected substitutions per site. Posterior probability values (printed when > 0.5) at respective branches. Sample labels with island of origin and code of the collection site or genbank code.,5
32,"Habitus of 3 Ancyronyx minerva Freitag & JÃ¤ch, 2007, larva, 4 Ancyronyx punkti Freitag & JÃ¤ch, 2007, larva, 5 Ancyronyx pseudopatrolus Freitag & JÃ¤ch, 2007, larva, 6 Ancyronyx patrolus Freitag & JÃ¤ch, 2007, larva, 7 Ancyronyx montanus Freitag & Balke, sp. n., adult, 8 Ancyronyx montanus Freitag & Balke, sp. n., larva, 9 Ancyronyx procerus JÃ¤ch, 1994, larva, 10 Ancyronyx helgeschneideri Freitag & JÃ¤ch, 2007, larva.",5
33,"Ancyronyx minerva Freitag & JÃ¤ch, 2007, larva (SEM photographs), A abdominal segments, lateral, with posterolateral projections and spiracles, B posterior portion of metanotum and first abdominal segment, dorsal, with different setae, posterolateral trichoid tooth and spiracle, C abdominal spiracle, D posterolateral detail of abdominal segment V, dorsal, with different types of setae, E thoracic and first abdominal segments, ventra, F head and pronotum, lateral, G head, dorsal, H head, ventral, I antenna and distal parts of maxilla, labium and mandible, ventral, J operculum, ventral, K abdominal segments VIII and IX, dorsal, L distal portion of abdominal segment IX, lateral, with opened operculum, abdominal gill chamber and terminal hooks.",5
34,"Ancyronyx punkti Freitag & JÃ¤ch, 2007, (SEM photographs) larva: A Posterolateral detail of abdominal segment VI, dorsal, with with posterolateral projections and spiracles, B pronotum and head, dorsal, C head, dorsolateral, D head, ventral, E antenna, ventral, F apical portions of labium and maxilla, ventral, G prothorax, ventral, H thoracic and first abdominal segments, ventral, I lateral and parts of median sclerites of abdominal venter, with asperities, setiferous tubercles and lateral projections, J operculum, lateroventral, K abdominal segments VIII and IX, dorsal.",5
35,"Ancyronyx pseudopatrolus Freitag & JÃ¤ch, 2007, adult male: A aedeagus in ventral few (SEM photograph); adult female: B ovipositor in ventral view; C sternite VIII in ventral view; D ventrite 4 & 5 in ventral view; E tergite VIII in dorsal view.",5
36,"Ancyronyx pseudopatrolus Freitag & JÃ¤ch, 2007, larva (SEM photographs): A lateral detail of abdomen, dorsal, with posterolateral projections and spiracles; B anterior portion of pronotum and head, lateral; C head, ventral; D head, frontal; E pronotum and head, dorsal; F thoracic segments, ventral; G foreleg, ventral; H distal portion of abdominal segment IX with operculum, ventral; I abdominal segment IX, dorsal.",5
37,"Ancyronyx patrolus Freitag & JÃ¤ch, 2007, larva (SEM photographs): A abdominal segments VIIâIX, lateral, with dorsosagittal carinae (left), B abdominal segment VIII, dorsal, with drop-shaped protuberance of dorsosagittal carina, posterolateral trichoid tooth and spiracle, C head, dorsolateral, D head, frontoventral, E head, ventral, F antenna and lateral portions of clypeus with subbasal fringe of fasciculate setae, dorsal, G head, pronotum and mesonotum with signa, dorsal, H thoracic segments, ventral, I hindleg and first abdominal segments, ventral, J tibia and claw of last instar foreleg, lateral, K operculum, ventral.",5
38,"Ancyronyx montanus Freitag & Balke, sp. n., (SEM photographs with grey background, stereo microscope photographs with white background) adult male: A head, dorsal, B head, ventral, CÂ pronotum, dorsal, D pro-, meso-, and metaventrite, ventral, E elytra, dorsal, F meso- and metacoxae, metaventrite, ventrites 1â2, ventral, G hind claw, H ventrite 5, ventral; adult female: I ventrite 5, ventral; adult male: J ventrite 5, ventral, K sternite IX, L & M aedeagus, ventral, N aedeagus, lateral; adult female: OÂ ovipositor, ventral, P sternite VIII, ventral, Q tergite VIII, dorsal; adult male: R tergite VIII, dorsal.",5
39,"Ancyronyx montanus Freitag & Balke, sp. n., larva (SEM photographs), A abdominal segments VIâVIII, dorsal, B lateral and parts of median sclerites of abdominal venter, with different types of setae and lateral projections, C posterolateral abdominal projection with trichoid tooth, D head, dorsolateral, E head, dorsal, F head, ventral, G prothorax, ventral, H thoracic and first abdominal segments, ventral, I hindleg, lateral, J operculum, ventral, K abdominal segments VIII and IX, dorsal.",5
40,"Ancyronyx procerus JÃ¤ch, 1994, larva (SEM photographs): A pronotum and head, dorsal, BÂ detail of abdominal segment III, ventral, C abdominal posterolateral projections, ventral, D head, ventral, E apical portions of labium and maxilla, ventral, F antenna, ventral, G thoracic segments, ventral, HÂ hindleg, ventral, I operculum, ventral, J abdominal segment IX, ventral.",5
41,"Ancyronyx helgeschneideri Freitag & JÃ¤ch, 2007, larva (SEM photographs): A lateral portion of abdominal segment VI with posterolateral trichoid tooth and spiracle, dorsal, B head, dorsal, C head portion with labrum, frontodorsal, D head, frontoventral, E maxillae & labium, ventral, F thoracic segments, ventral, G hindleg, ventral, H portion of abdominal segments, ventral, I abdominal posterolateral projections, ventral, J abdominal segment VIII & IX, dorsal, K abdominal segment IX, ventral, L operculum, ventral.",5
42,"Collecting sites of the Ancyronyx species treated herein in Palawan and Busuanga, including enlarged map of St. Paul National Park. See Freitag & JÃ¤ch, 2007, Fig. 17 for previous records.",5
43,"Geometric mean meconium tobacco smoke metabolite concentration by duration and intensity of prenatal tobacco smoke exposure. Unexposed indicates all three prenatal serum cotinine measurements were <LOD.  1X, 2X, and 3X indicate the number of serum cotinine measurements consistent with secondhand or active tobacco smoke exposure. Error bars represent 95% CI of the geometric mean.",6
44,"Adjusted geometric mean meconium nicotine concentration by 16 week and birth serum cotinine category*. *-Adjusted for 26 weeks serum cotinine category (< LOD, LOD - 3 ng/mL, and > 3 ng/mL).  Error bars represent 95% CI of the geometric mean.",6
45,"MRSA, USA300 and human are organism terms which should be linked to NCBI Tax: 1280, NCBI Tax: 367830 and NCBI Tax: 9606, respectively.",7
46,Workflow of SPRENO.,7
47,"The developed CNN model for organism disambiguation. For the target mention âS. typhimuriumâ, whose linked NCBI Taxonomy ID is 90371, the context is represented as {â¦, wild/â1, S. typhimurium/0, or/1, its/2, â¦} and the entity is represented as its scientific name (i.e. Salmonella enterica subsp. enterica serovar Typhimurium).",7
48,An example illustrating the common term (embryos) and its related species (zebrafish).,7
49,Performance comparison on the training set with or without using full-text information and common term identification.,7
50,Annotations for Figure 8 of the paper PMC 186890 from SourceData (Refer to the link http://smartfigures.net/article/smartfigure/10.1038/sj.emboj.7601689/index/8).,7
51,Distribution of the types of organism names in the Training and Test set.,7
52,The box plot for micro-PRF scores of all submitted runs for organism normalization on the test set of the Bio-ID track. The mean and SD are shown on the right of the whiskers.,7
53,"UpSet plot of the most common genes found in the text of pathway figure-containing papers. The stacked bar plot (top) shows the number of papers that include one or more of these genes in either a pathway figure (blue), the text via PubTator (green), or both (red). The matrix below the bar plot indicates which sets of genes are represented by each bar. The bar plots on the left show the total number of genes in either pathway figures, text, or both using independent scales",8
54,"Screenshot of interactive query tool for pathway figures. The tool allows for easy querying of the full set of 65k pathway figures by any combination of gene content, publication year, disease annotations, figure and paper title, authors, etc.",8
55,"Major milestones in the development of the Hippo signaling pathway. A timeline spanning 1995 to 2013 focuses on the discovery of the components and processes of the Hippo signaling pathway (below timeline), illustrated by representative pathway figures that grow in complexity and detail (above timeline). The events depicted in gray below the timeline were collected mostly from Kim et al.. Drosophila and human orthologs are Wts:LATS1/2, Sav:SAV1, Hpo:MST1/MST2(STK3), Mer:NF2, Fat: FAT1, Ex: FRMD6, Yorkie/Yki:YAP(YAP1)/TAZ(WWTR1), Sd:TEAD1-4, Kibra:WWC1",8
56,Overlap among Hippo signaling pathway figures. A matrix view of the directional overlap among 55 pathway figures containing at least five core genes involved in hippo signaling. The dendrogram (left) identifies various levels of clustering. The top three clusters are annotated by labels and a color bar for reference (right),8
57,"Machine learning performance. Classification of pathway figures assessed in a original PMC-sorted query results and b first and c second rounds of machine learning results independently sorted by estimated pathway likelihood (y-axis). Dots in a and b (connected by dotted lines) indicate where figures were sampled along their sorted indices for manual classification. These data were used in training subsequent rounds of ML. The solid black curves in b and c indicate the prediction of the learned model from each round of ML. The red vertical lines indicate the threshold used to define a set of pathway figures at each stage and assess their count and actual pathway content (inset tables). The final set of 64,643 pathway figures replaced 1.2% of known false positives and false negatives based on manual classification and was estimated to contain 94% pathway content",8
58,"Short term efficacy of UNC7938 on exon skipping therapy in mdx mice. (A) Schematic representation of the injection protocol with tcDNA-ASO and the OEC UNC7938 in mdx mice. (B) Effect of UNC7938 on exon 23 skipping level. qPCR quantification of exon 23 skipping using taqman qPCR in the different muscle tissues. Tibialis anterior (TA), gastrocnemius (GAS), quadriceps (QUAD), triceps (TRI), diaphragm (DIA), and heart. n = 4 mice per group, ** p < 0.01 compared to ASO analyzed by RM two-way ANOVA. (C) Dystrophin restoration in treated mdx mice assessed by Western blotting. n = 4 mice per group, **** p < 0.0001 compared to ASO analyzed by RM two-way ANOVA. (D) Quantification of ASO in the different muscles tissues (left panel) and accumulation organs, such as spleen, liver, and kidney (right panel) after four weeks of treatment. Results are expressed as mean Â± SEM; n = 4 mice per group.",10
59,"Kinetics of UNC7938 effect on exon skipping therapy in mdx mice. (A) Schematic representation of the injection protocol with tcDNA-ASO and the OEC UNC7938 in mdx mice with the different time points of analysis. (B) Quantification of ASO in triceps, diaphragm, and heart at different time points (72 h, one wk, three wks, and six wks) after the last ASO injection. n = 3 mice per group and per time point. * p < 0.05, ** p < 0.01 compared to ASO analyzed by two-way ANOVA. (C) Effect of UNC7938 on exon skipping level. qPCR quantification of exon 23 using taqman qPCR in the triceps, diaphragm, and heart at different time points (72 h, one wk, three wks and six wks) after last ASO injection. n = 3 mice per group and per time point. * p < 0.05, *** p < 0.001, **** p < 0.0001 compared to ASO analyzed by two-way ANOVA. (D) Quantification of dystrophin restoration levels by western blot in treated mdx mice at different time points (one wk, three wks, and six wks). Results are expressed as mean Â± SEM; n = 3 mice per group and per time point.",10
60,"Efficacy of 12-wk combined UNC7938 and ASO treatment in mdx mice. (A) Schematic representation of the injection protocol with tcDNA-ASO and the OEC UNC7938 in mdx mice. (B) Quantification of ASO in the different muscles tissues (Tibialis anterior (TA), triceps (TRI), diaphragm (DIA) and heart) (left panel) and accumulation organs, such as spleen, liver and kidney (right panel) after 12 weeks of ASO treatment. n = 7 mice per group. (C) Subcellular fractionation and intracellular content of ASO following treatment with UNC7938. Western blot analysis of nuclear (n) and cytosolic (C) fractions isolated from gluteus muscles of mdx mice treated with ASO or ASO + 7938. The EEA1 and H3 antibodies are used to confirm cytosolic and nuclear enrichments, respectively. (D) Quantification of ASO in the cytosolic and nuclear fractions reveals a higher proportion of ASO in the nuclear fraction when mice have received the combined treatment ASO + 7938 compared to treatment with ASO alone. Results are expressed as means Â± SEM; n = 6â8 mice per group, and two gluteus muscles are analyzed per mouse. (E) Effect of UNC7938 on exon skipping level. qPCR quantification of exon 23 using taqman qPCR in the different muscle tissues. n = 7 mice per group, (F) Dystrophin restoration assessed by Western blotting in treated mdx mice. Results are expressed as mean Â± SEM; n = 7 mice per group. (G) Dystrophin staining in heart (top) and triceps (bottom). Detection of dystrophin protein (green staining) by immunofluorescence on transverse sections of muscle tissues (triceps and heart) from WT and mdx mice treated with saline, ASO, or ASO + UNC7938. Scale bar, 100 Âµm. Right panel: quantification of the dystrophin intensity staining in heart and triceps, mean fluorescence intensity is normalized to the number of fiber counts. Results are expressed as mean Â± SEM; n = 4 mice per group. * p < 0.05 between ASO and ASO + 7938 analyzed by two-way ANOVA.",10
61,"The combination of tcDNA-ASO and UNC7938 treatment improves cardiac function in mdx mice. Cardiac function was evaluated by echocardiography in six-month-old mice and the left ventricular ejection fraction (LVEF), the fractional shorting (FS), the systolic pulse pressure (PP systole), and the Tei index are represented. Results are expressed as mean Â± SEM; n = 8 for WT, mdx saline and ASO, n = 7 for 7938 and n = 6 for ASO + 7938. * p < 0.05, ** p < 0.01 analyzed by one-way ANOVA.",10
62,"Safety profile of the combined UNC7938 + ASO treatment. (A) Quantification of general toxicity biomarkers in the serum: creatinine, urea, albumin, aspartate aminotransferase (AST), alanine aminotransferase (ALT), alkaline phosphatase (ALP), and bilirubin. Results are expressed as mean Â± SEM; n = 5â8 mice per group, * p < 0.05, ** p < 0.01, *** p < 0.001 compared to mdx saline, analyzed by Kruskal-Wallis one-way ANOVA. (B) Quantification of total protein and albumin levels in the urine of WT and treated mdx mice. Urine was collected at the end of the 12-wk treatment. Results are normalized to creatinine levels and expressed as mean Â± SEM; n = 5â8 mice per group; p = ns compared to mdx saline (one-way ANOVA). (C) Histological presentation of wild-type mice and mdx mice treated with saline, ASO, UNC7938 or ASO + 7938 for 12 weeks. In liver (upper panel), small foci of inflammatory cell infiltration were scattered in the hepatic parenchyma of all mice in every group. In kidney (lower panel), no lesions or only sporadic changes were observed except for two animals: one UNC7938-treated mouse and one ASO + 7938-treated mouse displayed few minimal areas of tubular degeneration/regeneration (arrows) +/â associated with intraluminal proteinaceous casts and tubular ectasia. Note that one similar area was observed in one mdx-saline mouse. Hematoxylin-Eosin-Saffron staining. Scale bar = 50 Âµm.",10
63,Schematic of the clinical implementation process for pharmacogenomic tests.,11
